RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,

# JANUAR 25
14411,014411,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14412,014412,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14413,014413,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14414,014414,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14415,014415,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14416,014416,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14417,014417,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14418,014418,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14419,014419,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
14420,014420,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,18.7,0.00001,-0.00411861,-1,-0.1,40,0
