RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
19735,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.277813,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72337,0.349889,43.7118,24.4399,-0.68318,-0.005112,-3.95576,-0.064047,40,0,0,0,0


# JUNE 20
# no chiller connected!
#alignment run
19807,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.287567,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63805,0.25516,51.3917,27.2587,-0.536598,-0.00453574,-4.6,0,40,0,0,0,0

# tilt scan:
19809,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.277228,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63513,-0.0972345,51.5202,53.1163,-0.657851,-0.0059859,-4.64589,-0.0429891,40,0,0,0,0
19810,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.277239,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63504,-0.0966267,51.5651,53.1196,-0.657781,-0.00594816,-4.64603,-0.0430336,40,0,0,0,0
19811,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.276384,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63572,-0.132366,51.5344,54.9051,-0.665825,-0.00615174,-4.6462,-0.0436567,40,0,0,0,0
19812,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.275183,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63532,-0.132726,51.7089,54.9108,-0.668073,-0.00613179,-4.64604,-0.0436417,40,0,0,0,0
19813,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.274749,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.6361,-0.171547,51.3603,56.7205,-0.690424,-0.00642927,-4.64595,-0.0439936,40,0,0,0,0
19814,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.274285,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63565,-0.171243,51.5283,56.7221,-0.686391,-0.00639892,-4.64609,-0.0442126,40,0,0,0,0
19815,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.273272,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63621,-0.213823,51.657,58.5245,-0.70344,-0.00669033,-4.64627,-0.0449701,40,0,0,0,0
19816,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.274561,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63555,-0.21397,51.8244,58.5256,-0.70603,-0.0066143,-4.64619,-0.0446341,40,0,0,0,0
19817,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.27227,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63583,-0.260132,51.7046,60.3215,-0.717919,-0.00681694,-4.64627,-0.0454204,40,0,0,0,0
19818,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.27267,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63532,-0.259502,51.7046,60.3258,-0.721889,-0.00684421,-4.6465,-0.0452824,40,0,0,0,0
19819,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.27051,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63498,-0.309966,51.8472,62.1155,-0.749169,-0.00734149,-4.64633,-0.0458479,40,0,0,0,0
19820,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.271041,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63487,-0.310084,51.9817,62.1132,-0.751796,-0.00724466,-4.64675,-0.0459769,40,0,0,0,0
19821,019807,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-nochill-gaincal.dat,desy_weibull_decorr_pos,0.27007,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.63514,-0.368448,51.7652,63.9282,-0.764825,-0.00761137,-4.64704,-0.0466224,40,0,0,0,0
